No,year,PM2.5,PM10,SO2,NO2,CO,O3,PM2.5_lv,PM10_lv,SO2_lv,NO2_lv,CO_lv,O3_lv
1,2013,4.0,4.0,4.0,7.0,300.0,77.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2013,8.0,8.0,4.0,7.0,300.0,77.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2013,7.0,7.0,5.0,10.0,300.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0
4,2013,6.0,6.0,11.0,11.0,300.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2013,3.0,3.0,12.0,12.0,300.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
6,2013,5.0,5.0,18.0,18.0,400.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0
7,2013,3.0,3.0,18.0,32.0,500.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2013,3.0,6.0,19.0,41.0,500.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2013,3.0,6.0,16.0,43.0,500.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2013,3.0,8.0,12.0,28.0,400.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0
11,2013,3.0,6.0,9.0,12.0,400.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
12,2013,3.0,6.0,9.0,14.0,400.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0
13,2013,3.0,6.0,7.0,13.0,300.0,74.0,0.0,0.0,0.0,0.0,0.0,1.0
14,2013,3.0,6.0,7.0,12.0,400.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0
15,2013,6.0,9.0,7.0,11.0,400.0,77.0,0.0,0.0,0.0,0.0,0.0,1.0
16,2013,8.0,15.0,7.0,14.0,400.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0
17,2013,9.0,19.0,9.0,13.0,400.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0
18,2013,10.0,23.0,11.0,15.0,400.0,74.0,0.0,0.0,0.0,0.0,0.0,1.0
19,2013,11.0,20.0,8.0,20.0,500.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0
20,2013,8.0,14.0,12.0,30.0,500.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0
21,2013,11.0,17.0,13.0,33.0,600.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2013,12.0,18.0,16.0,35.0,500.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2013,15.0,19.0,21.0,57.0,700.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2013,24.0,24.0,26.0,54.0,600.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2013,22.0,24.0,24.0,44.0,500.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2013,14.0,17.0,21.0,36.0,400.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2013,13.0,13.0,20.0,37.0,400.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2013,3.0,9.0,13.0,34.0,400.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2013,3.0,7.0,18.0,43.0,400.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,9.0,11.0,19.0,70.0,500.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
31,2013,4.0,10.0,28.0,46.0,500.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2013,3.0,11.0,34.0,58.0,500.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0
33,2013,3.0,7.0,21.0,49.0,500.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2013,10.0,14.0,47.0,62.0,700.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0
35,2013,11.0,19.0,36.0,60.0,600.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0
36,2013,18.0,29.0,36.0,70.0,800.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0
37,2013,26.0,30.0,25.0,76.0,900.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0
38,2013,25.0,33.0,20.0,57.0,700.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2013,26.0,35.0,22.0,54.0,700.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2013,37.0,40.0,24.0,55.0,700.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2013,37.0,46.0,29.0,63.0,1000.0,38.0,1.0,0.0,0.0,1.0,1.0,0.0
42,2013,44.0,58.0,45.0,77.0,1200.0,30.0,1.0,0.0,1.0,1.0,1.0,0.0
63,2013,72.0,106.0,31.0,57.0,900.0,51.0,1.0,1.0,1.0,0.0,1.0,0.0
